,Title,Abstract
655,Factors impacting teachers’ adoption of mobile learning,"As mobile technology has advanced, awareness is growing that these technologies may benefit teaching and learning. However, despite this interest, the factors that will determine the acceptance of mobile technology by lecturers have been limited. This study proposed and tested a new model that extends the technology acceptance model (TAM) with three new variables: digital literacy, ICT anxiety, and ICT teaching self-efficacy.

The TAM models the adoption of new technology based on measuring a users’ beliefs and attitudes to the technology. In particular, the TAM states that two factors influence a user’s use and perception of new technology. The first factor, perceived usefulness, is the degree to which a person believes that a particular technology will be beneficial to their lives. The second factor, perceived ease of use, is the measure of the degree an individual believes a particular technology is free from effort.

Research has shown that a large portion of lecturers still resists the integration of technology into the classroom. Two aspects, in particular, have been consistently found to impact lecturers’ adoption of technology. The first aspect shown to influence the adoption of new technology is the beliefs held by the lecturers. Specifically, it is the perceived value of the new technology (perceived usefulness) and perceived effort needed to learn to use the new technology (perceived ease of use) that have been established as playing a major role in the adoption of technology. The second major aspect seen to influence adoption is the skill of lecturers to use digital technology (referred to as digital literacy) and the skill needed to integrate it into their teaching (teaching self-efficacy).

The new model that was proposed and tested measured the impact of digital literacy, ICT anxiety, and ICT teaching self-efficacy, along with the well established factors of perceived usefulness and perceived ease of use, on lecturer’ acceptance of mobile learning. A survey was used to measure the major variables in this study. The research found that&nbsp;perceived usefulness, ease of use, digital literacy, anxiety, and teaching self-efficacy were critical factors in lecturers’ behavioral intentions to use mobile learning. The results of this study indicated the importance of these factors in the acceptance of mobile learning. From this model, educationalists are able to identify and develop strategies to support the successful introduction of mobile technology with in educational setting.

This research has added to and clarified the existing literature into mobile learning. In particular, it recognizes the role that lecturers play in the future acceptance of mobile learning. It shows that the factors that influence lecturers’ adoption of mobile learning may differ from those of their students. It therefore highlights that these factors need to be considered when implementing mobile technology into the teaching environment.

•

Journal of Information Technology Education: Research Volume 13, 2014

Material published as part of this publication, either on-line or in print, is copyrighted by the Informing Science Institute. Permission to make digital or paper copy of part or all of these works for personal or classroom use is granted without fee provided that the copies are not made or distributed for profit or commercial advantage AND that copies 1) bear this notice in full and 2) give the full citation on the first page. It is per- missible to abstract these works so long as credit is given. To copy in all other cases or to republish or to post on a server or to redistribute to lists requires specific permission and payment of a fee. Contact Publisher@InformingScience.org to request redistribution permission"
656,Finding frames: new ways to engage the UK public in global poverty,"The aim of the study was to explore the potential for frames theory to be used as a practical tool to re-engage the UK public in global poverty.

In exploring the uses of frames theory, we have built on work by Tom Crompton at WWF-UK, who began the task of linking values to frames and thereby suggesting new ways forward for engaging the public in environmental issues and actions. An important finding from his Common Cause paper is that there is a common set of values that can motivate people to tackle a range of ‘bigger than self’ problems, including the environment and global poverty.

The implication is that large coalitions can – and must – be built across third- sector organisations to bring about a values change in society. This report responds to that call.

The basic argument of this paper is that there is a problem in terms of the UK public’s levels of engagement with global poverty. Simply put, people in the UK understand and relate to global poverty no differently now than they did in the 1980s. This is the case despite massive campaigns such as the Jubilee 2000 debt initiative and Make Poverty History; the widespread adoption and mainstreaming of digital communication techniques and social networks; steady growth in NGO fundraising revenues; the entire Millennium Development Goal story; and the establishment of a Westminster consensus on core elements of development policy.

By many measures we have made amazing strides forward in recent years, but the public have largely been left behind. The result is that we operate within social and, by extension, political conditions that are precarious in the immediate term and incommensurate to the challenges of poverty and climate change in the medium and long term.

This study looks at what can be learned from values (the guiding principles that individuals use to judge situations and determine their courses of action) and frames (the chunks of factual and procedural knowledge in the mind with which we understand situations, ideas and discourses in everyday life). Values and frames offer ways to look at the problem of public engagement with global poverty and to identify possible solutions. If we apply values and frames theory to the question of how to re-engage the public, we come up with some compelling insights into the impact of our existing practices and some striking solutions to the problems that these reveal. They may not be perfect solutions, and they bring with them significant challenges. But we believe they offer something valuable and timely: a fresh perspective.

The persistent problem of public engagement suggests it is time for the development sector to transform its practices radically. Values and frames offer pathways to potential solutions that should be debated across the sector, and no"
657,Studies in Australian political rhetoric,"Overview: This edited collection includes eleven major case studies and one general review of rhetorical contest in Australian politics. The volume showcases the variety of methods available for studying political speech, including historical, theoretical, institutional, and linguistic analyses, and demonstrates the centrality of language use to democratic politics. The chapters reveal errors in rhetorical strategy, the multiple and unstable standards for public speech in Australia, and the links between rhetoric and action. The length of Australian political speech is traversed, from pre-Federation to the Gillard minority government (2010–13), and the topics similarly range from Alfred Deakin’s nation building to Kevin Rudd’s Apology to the Stolen Generations. This fresh collection is intended to stimulate and advance the study of political rhetoric in Australia"
658,The stronger families in Australia (SFIA) study: phase 2,"This report presents a medium- to long-term evaluation of the Communities for Children (CfC) initiative.

Executive summary

This report presents the results of Phase 2 of the Stronger Families in Australia (SFIA) study, an evaluation of the Communities for Children (CfC) initiative. The focus is on examining the effects of the initiative on child, family and community outcomes. By using data from Phase 1 (Waves 1 to 3 conducted from 2006-08) and Phase 2 (Waves 4 and 5 conducted in 2010-12) of the Stronger Families in Australia (SFIA) study, the medium- to longer-term effects of the program can be assessed.

As is outlined in detail in the report: Stronger Families in Australia Study: The Impact of Communities for Children, the CfC initiative aimed to:


	improve the coordination of services for children 0-5 years of age and their families;
	identify and provide services to address unmet needs;
	build community capacity to engage in service delivery; and
	improve the community context in which children grow up.


As part of the CfC initiative, the Department of Social Services (DSS; formerly Department of Families, Housing, Community Services and Indigenous Affairs [FaHCSIA]) funded non-government organisations as ""Facilitating Partners"" initially in 45 disadvantaged geographic areas around Australia. Their task was to develop and implement a ""whole-of-community"" approach to enhancing early childhood development, through consultation with local stakeholders. The idea behind the CfC model is that service effectiveness is dependent not only on the nature and number of services, but also on coordinated service delivery. The types of services offered in the CfC sites differ depending on the needs of each community, and include home visiting; programs on early learning, child nutrition and literacy; parenting and family support services; and community events. There are now 52 funded CfC Facilitating Partners.

In 2009, CfC services were incorporated into the Family Support Program, which brought together a wide range of services for children and families, broadening their scope to include services for children aged 0 to 12 years and targeting vulnerable and disadvantaged families. In the same year, eight sites were targeted to focus on preventing child abuse and neglect in particular - four were existing CfC sites and four were new sites. In this report, these sites are referred to as Stage 2 CfC sites. Stage 2 CfC sites have not been included in the CfC evaluation reported in the main body of this report; however, preliminary waves of data from the early implementation of seven Stage 2 CfC sites and comparison (contrast) sites are included in the appendix.

As in the initial phase of the evaluation, Phase 2 of the SFIA study provides a unique opportunity to consider the effectiveness of the CfC initiative. The strengths of the SFIA study include having a large sample representing 42% of the initial target population in the selected CfC and contrast sites, relatively low and non-systematic attrition from Wave 2 (when children were 2-3 years of age) to Wave 5 (when children were 9-10 years of age), robust measurements of child and family outcomes, and an appropriately matched comparison group. However, the SFIA survey cannot identify the extent to which particular children or families have received CfC services, as one of the key features of the initiative was to change the nature of how the service delivery system operates in a community context.

Summaries of the key findings of the study and some of the implications of these findings are provided in this report"
659,Serious invasions of privacy in the digital era: final report,"This report provides the legal design of a tort to deal with serious invasions of privacy in the digital era, and makes sixteen other recommendations that would strengthen people’s privacy in the digital environment.

Executive summary

Context of the inquiry

A cause of action for serious invasion of privacy does not presently exist in Australian law. A person’s privacy may be invaded in a range of ways. Such invasions may occur with increasing ease and frequency in the digital era, when the mobile phones in our pockets are all potential surveillance devices, drones are becoming cheaper and more advanced, and personal information once put online seems impossible to destroy or forget.

This Inquiry considers how Australian law may be reformed to prevent and remedy serious invasions of privacy. However, it occurs in the context of other concerns about privacy, such as those raised by ‘big data’ and surveillance by governments and others. Indeed, it seems that privacy is rarely out of the news"
660,The impact and effectiveness of equity focused health impact assessment in health service planning,"This&nbsp;ebook looks at the use of equity focused health impact assessment (EFHIA) on health service plans. It examines:


	What are the direct and indirect impacts of EFHIAs conducted on health sector plans?
	Does EFHIA improve the consideration of equity in the development and implementation of health sector plans?
	How does EFHIA improve the consideration of equity in health planning?


This ebook describes the use and evolution of health impact assessment (HIA) and EFHIA internationally and in Australia, how it has been used in relation to health service plans, examines its effectiveness and impacts on decision-making and implementation and examines several EFHIAs using case study and interpretive description methodologies.

This research shows that EFHIA has the potential to have both direct and indirect impacts on health service planning. These impacts are influenced by a broad range of factors however. The case studies in this ebook show that engagement with the EFHIA process and the extent to which EFHIA is regarded as a broader learning process are important factors that mediate the extent to which EFHIAs influence subsequent activities.

This research suggests that it is not possible to adequately describe the full range of impacts of EFHIA on decision-making and implementation without looking at perceptions about EFHIA’s effectiveness, in particular the perceptions of those involved in the EFHIA and those responsible for acting on its recommendations. These perceptions change over time, suggesting that future research on the effectiveness of HIA should look at the mechanisms by which this change occurs.

The ebook makes two theoretical contributions in the form of (i) a typology for HIAs and (ii) a conceptual framework for evaluating the impact and effectiveness of HIAs. This conceptual framework is tested for its applicability and refined.

The ebook and the accompanying publications were written to fulfil the requirements for a Doctor of Philosophy in Public Health at the University of New South Wales"
661,Exploring the teaching nursing home model: literature review to inform the national evaluation of the TRACS program,"Overview

This Literature Review forms one component of the national evaluation of the TRACS Program which was commissioned in late 2012 by the then Department of Health and Ageing, now the Department of Social Services. The review builds on earlier work undertaken for the Department by WISeR to provide research and analysis to inform the implementation of what was termed at that time the Teaching Nursing Homes Initiative.

The Scoping Study Project began in early January 2011 and was completed at the end of March 2011 and it involved a focused review of the national and international literature on the \u27teaching nursing home\u27 model"
662,The ABC: an overview,"This paper presents an overview of Australia\u27s principal public broadcaster, the ABC, with reference to its origins, current composition and functions and its vision for a viable future within a changing media environment. The paper also makes reference to some of the controversies which have been integral to long-running discussion about the ABC - allegations of bias, political appointments to the broadcaster and the perennial question of funding adequacy.

Executive summary


	
	This paper presents a brief overall picture of Australia’s principal public service broadcaster, the Australian Broadcasting Corporation (ABC).It describes the origins and development of the ABC and looks at its current structure, general operational policies and functions.
	
	
	The paper also discusses a number of important issues which are often raised in discussions of public broadcasting in general, and in particular, in relation to the ABC. One of the most significant of these is the issue of how the ABC is funded. The paper provides a brief background to the current funding situation, noting the debate surrounding the adequacy of funding and what may be future funding outcomes. Discussion of this issue is supplemented by detailed funding tables presented in Appendix C. These tables show funding trends and provide information actual dollars and dollar adjusted to 2012–13 prices.
	
	
	The ABC has regularly been the subject of criticism from a number of quarters; there have been frequent allegations of bias in reporting, inappropriate programming, political appointments to the ABC Board and mismanagement of funds. Recently the ABC has been accused also of neglecting its Charter obligations by withdrawing local services and outsourcing production.
	
	
	The debates surrounding these and other similar issues are also considered in the paper. Arguments supporting and criticising the broadcaster are noted throughout. While no attempt is made to draw definitive conclusions about the future of the ABC, it is noted that the broadcaster continues to be admired and supported by a significant number of Australians who see it as a constant source of quality information and entertainment"
663,Health and the primary prevention of violence against women,"This position paper focuses on the primary prevention of&nbsp;violence perpetrated by men against women. It develops&nbsp;a position on primary prevention (as distinct from&nbsp;secondary and tertiary interventions). It also identifies&nbsp;examples of good practice across settings, and factors&nbsp;for success for primary prevention programs. The paper&nbsp;has been developed as a resource for public education,&nbsp;debate and community activities related to the primary&nbsp;prevention of violence against women.Intimate partner violence is prevalent, serious and&nbsp;preventable; it is also a crime. Among the poor health&nbsp;outcomes for women who experience intimate partner&nbsp;violence are premature death and injury, poor mental&nbsp;health, habits which are harmful to health such as&nbsp;smoking, misuse of alcohol and non-prescription drugs,&nbsp;use of tranquilisers, sleeping pills and anti-depressants.&nbsp;

The cost of violence against women to individuals,&nbsp;communities and the whole of society is staggering&nbsp;and unacceptable. Every week in Australia at least one&nbsp;woman is killed by her current or former partner, and&nbsp;since the age of 15, one in three women has experienced&nbsp;physical violence and one in five has experienced sexual&nbsp;violence. The annual financial cost to the community&nbsp;of violence against women was calculated by Access&nbsp;Economics in 2002/3 to be $8.1 billion (Victorian&nbsp;Health Promotion Foundation, 2004), a figure which is&nbsp;likely to increase unless the incidence of violence against&nbsp;women can be reduced and ultimately eliminated.&nbsp"
664,Overview of Australian Indigenous health status 2013,"This report provides extensive information on: Aboriginal and Torres Strait Islander populations; the context of Indigenous health; various measures of population health status; selected health conditions; and health risk and protective factors.

Preface

The main purpose of the Overview is to provide a comprehensive summary of the most recent indicators of the health and current health status of Australia’s Indigenous people. It has been prepared by the Australian Indigenous HealthInfoNet as a part of our contributions to ‘closing the gap’ in health between Indigenous people and other Australians by making relevant, high quality knowledge and information easily accessible to policy makers, health service providers, program managers, clinicians, researchers, students and the general community.

The initial sections of this Overview provide information about the context of Indigenous health, Indigenous population, and various measures of population health status. Most of the subsequent sections about specific health conditions comprise an introduction about the condition and evidence of the current burden of the condition among Indigenous people. Where available and appropriate; information is provided for each state and territory and for demographics such as gender and age.

While it provides a comprehensive review of key indicators across a range of health topics, it is beyond the scope of the Overview to provide detailed information on other aspects, such as the availability and use of services (including barriers to their use) and strategies and policies related to specific health topics. Interested readers should refer to the topic-specific reviews that are available on the HealthInfoNet’s website. Additional, more in depth, information about the topics summarised in this Overview is included in the corresponding sections of the HealthInfoNet’s website"
665,A safe and supportive family environment for children: key components and links to child outcomes,"Aims to understand more about the prevalence of different types of family environments in society and to explore the influence of these environments on different child outcomes.

Introduction

Families are the mainstay of safety and support for children. While most children live in safe and supportive environments, governments are aware that too many children are becoming known to child protection services. This has led to a shift in thinking away from solely concentrating on responding to ‘risk of harm’ reports towards a broader public health approach to protecting all of Australia’s children, reducing the likelihood of children coming to the attention of statutory authorities. This report aims to understand more about the prevalence of different types of family environments in society and to explore the influence of these environments on different child outcomes. Using data from the Longitudinal Study of Australian Children, we used latent class cluster analysis to identify different family environments and analysed the associations between these environments and particular child outcomes"
666,Alcohol’s burden of disease in Australia,"Alcohol causes 15 deaths and hospitalises 430 Australians every day, according to this report.

Summary

Burden of Disease (BoD) estimates based on current health and alcohol consumption data are integral in conceptualising the impact of alcohol on the Australian community. Such estimates are needed to assess changing trends of harm in the community related to drinking, and enable comparison of the burden of alcohol across different diseases and injuries. The present report utilises the most up to date methodology for estimating alcohol-related harm and beneficial effects and includes data on consumption statistics for Australia in 2010. This includes application of the latest methods to determine alcohol consumption distribution in population and compensation for underreporting of alcohol consumption in national surveys, and for the first time reports jurisdictional differences in both alcohol consumption and alcohol-related harms across all Australian states and territories"
667,Resilience amongst Australian Aboriginal youth: an ecological analysis of factors associated with psychosocial functioning in high and low family risk contexts,"Abstract: We investigate whether the profile of factors protecting psychosocial functioning of high risk exposed Australian Aboriginal youth are the same as those promoting psychosocial functioning in low risk exposed youth. Data on 1,021 youth aged 12–17 years were drawn from the Western Australian Aboriginal Child Health Survey, a population representative survey of the health and well-being of Aboriginal children, their families and community contexts. A person-centered approach was used to define four groups of youth cross-classified according to level of risk exposure (high/low) and psychosocial functioning (good/poor). Multivariate logistic regression was used to model the influence of individual, family, cultural and community factors on psychosocial outcomes separately for youth in high and low family-risk contexts. Results showed that in high family risk contexts, prosocial friendship and low area-level socioeconomic status uniquely protected psychosocial functioning. However, in low family risk contexts the perception of racism increased the likelihood of poor psychosocial functioning. For youth in both high and low risk contexts, higher self-esteem and self-regulation were associated with good psychosocial functioning although the relationship was non-linear. These findings demonstrate that an empirical resilience framework of analysis can identify potent protective processes operating uniquely in contexts of high risk and is the first to describe distinct profiles of risk, protective and promotive factors within high and low risk exposed Australian Aboriginal youth"
668,The evolution of Australian towns,"Drawing on census data, this report identifies the major trends in the size and distribution of Australia\u27s towns over the twentieth century. It examines the processes of change and the long term technological and economic factors driving development.

Overview

This is a historical, economic analysis of change in Australian settlement patterns over a century. Towns have been subject to significant economic, social and technological changes since 1911. This report examines how Australia\u27s town settlement patterns reacted to that change and examines the underlying factors and processes involved. It examines the interacting effects of geography, history, goods and services markets, industry, emenity and investment. The analysis reveals the important roles of competition, existing infrastructure, improved technology, longer life expectancy and increased wealth. It concludes that a stronger focus on amenity and services are likely potential success factors for modern towns"
669,Towards a performance measurement framework for equity in higher education,"This report provides an overview of the development of a potential performance measurement framework for equity in higher education (MFE) to measure progress and gaps in access to and participation in higher education for under-represented groups (Indigenous Australians, those from low socioeconomic status areas, people who live in regional and remote areas, and people with disability).

Summary

Increasing participation in higher education for under-represented groups has been a goal of both the Australian Government and Australian universities. In particular, the government has invested in a wide range of programs to support the efforts of universities to increase the enrolment and completion rates of:


	Aboriginal and Torres Strait Islander students
	those from low socioeconomic areas
	people who live in regional and remote areas
	students with disabilities.


To support these efforts, the Australian Institute of Health and Welfare (AIHW) was asked to begin developing a potential set of indicators for a performance measurement framework for equity in higher education (MFE), which could then allow progress to be measured and gaps to be identified.

This report provides details about the potential set of indicators and the process used to develop them. The potential indicators:


	reflect the 4 key phases in the life cycle of students (pre-entry; offers, acceptances, and enrolment; experience during university; post-graduate outcomes)
	align with the key elements of the policies and programs to improve equity
	include a mixture of inputs, outputs and outcomes
	capture the determinants of higher education attainment, as well as the outcomes
	match with existing reporting and measurement frameworks
	use existing data sources where possible.


The project identified 61 potential indicators for further discussion amongst key stakeholders. The potential indicators were organised into a 3-tier framework that matched the structure of the National Aboriginal and Torres Strait Islander Health Performance Framework (NATSIHPF). The 3 tiers are:


	Tier 1: Educational attainment and outcomes
	Tier 2: Precursors of higher education attainment
	Tier 3: Education system performance.


Tier 1 encompasses attainment and outcome measures that form the key targets and goals for the equity programs and policies. Tier 2 includes predictors of educational attainment (including developmental outcomes, aspirations, and educational performance), which previous research has shown vary by equity group. Tier 3 indicators are process measures of the efforts and strategies that universities and the government are undertaking to try to create change in the Tier 1 outcomes. The Tier 3 indicators are essential for monitoring both the aim and reach of these strategies"
670,Under the influence? Considering the role of alcohol and sexual assault in social contexts,"This paper reviews research around alcohol use in sexual assaults that are perpetrated in circumstances of socialising and sexual interactions.

Introduction

Alcohol is a common feature in many sexual assaults, particularly those committed in a social context. Although there is extensive research on the link between alcohol and sexual assault, there is a lack of clarity about the exact role that alcohol plays. In the ACSSA research report Insights Into Sexual Assault Perpetration: Giving Voice to Victim/Survivors\u27 Knowledge, alcohol was seen as a tool, commonly used by perpetrators. The report will be referred to throughout this paper as Giving Voice.

The findings from Giving Voice identified a variety of ways in which alcohol was used by perpetrators in social interactions and settings in order to perpetrate sexual assault. These included: taking advantage of the social use of alcohol to enable and facilitate the assaults; as a method of increasing perpetrator confidence; excusing their perpetrating behaviour after the assault; and enabling manipulation of the effects of alcohol for the purposes of reinterpreting the assault or women\u27s memories of it - alcohol has the effect of creating a barrier to the reporting of sexual assault as women often see their own intoxication or drinking behaviour as contributing to the assault.

This Issues paper aims to review research around alcohol use in sexual assaults that are perpetrated in circumstances of socialising and sexual interactions. It will highlight key points from the literature that provide relevant information for prevention. This paper also discusses 14 transcripts from interviews with victims of sexual assault in which alcohol was present. These interviews were originally undertaken as part of the Giving Voice report. The report was originally conceived as a step towards enhancing understanding about sexual assault perpetration. This Issues paper builds on one aspect of the findings from that report - namely that alcohol is often present when sexual assault is perpetrated. The aim of drawing on the Giving Voice transcripts that highlighted the presence of alcohol was to gain some insight into alcohol\u27s role in sexual assault facilitation and seeing whether this insight accords with the wider literature on alcohol"
671,Performance of the Australian Securities and Investments Commission,"Overview: As the national corporate, markets and financial services regulator, the Australian Securities and Investments Commission (ASIC) is involved in most areas of Australia\u27s commercial world. With the limited resources available to it, ASIC should be commended for how it performs certain functions and many of the outcomes it has achieved. ASIC will never be able to do everything the community may expect of it. In some respects, nor should it. It would be unrealistic to expect that ASIC could be funded at a level where all breaches or allegations of misconduct were pursued. Despite this, the size and growth of Australia\u27s financial sector and the fact that millions of Australians are involved in it, not least because of compulsory superannuation, makes it essential that modern and adaptable regulations are in place and regulators such as ASIC are at the top of their game. ASIC needs to ensure it sets appropriate priorities and that its actions encourage widespread compliance.

This report underlines the critical importance of ensuring that Australia has a robust corporate regulatory system under the stewardship of a strong and effective regulator"
672,A classification of New Zealand’s terrestrial ecosystems,"This study produces a comprehensive terrestrial ecosystem classification by subjectively constructing a heirarchy of perceived key environmental drivers.

Introduction: The ecosystem concept is at the centre of international agreements, New Zealand legislation, and modern policy and planning systems that aim to sustainably manage natural resources. All definitions of ecosystems include the concept of the physical environment being integrated with its biotic components. Functionally, the concept embodies disturbance cycles, and flows of energy, nutrients and non-living materials, with these processes underpinning the concept of ecosystem health or integrity. Since these processes operate at variable spatio-temporal scales, and species and communities intergrade variably along environmental gradients, there is no single optimal scale at which to apply the ecosystem concept. Rather, the openness and hierarchical nature of ecosystem processes lead to any one classification scale being viewed as nested within coarser and finer scale components.

One of the goals of the New Zealand Biodiversity Strategy is to ‘maintain and restore a full range of remaining habitats and ecosystems …’. However, although many environmental agencies and individuals can contribute to this goal, any investment decisions are currently being made in the absence of a comprehensive list of ecosystems or a systematic threat ranking. Therefore, classification of the full range of ecosystem types for New Zealand is overdue.
&nbsp;

&nbsp"
673,Enacting Kaitiakitanga: challenges and complexities in the governance and ownership of Rongoā Research information,"Abstract: This article explores the tensions one research team has faced in securing appropriate governance or stewardship (which we refer to as kaitiakitanga) of research data. Whilst ethical and regulatory frameworks exist which provide a minimum standard for researchers to meet when working with Māori, what our experience has highlighted is there is currently a “governance” gap in terms of who should hold stewardship of research data collected from Māori individuals or collectives. In the case of a project undertaken in the traditional healing space, the organisation best placed to fulfil this governance role receives no funding or support to take on such a responsibility; consequently by default, this role is being borne by the research team until such time as capacity can be built and adequate resourcing secured. In addition, we have realised that the tensions played out in this research project have implications for the broader issue of how we protect traditional knowledge in a modern intellectual property law context, and once again how we adequately support those, often community-based organisations, who work at the interface between Indigenous knowledge and the Western world.

&nbsp"
674,"Excavating widening participation policy in Australian higher education: subject positions, representational effects, emotion","This article uses Foucauldian discourse analysis to identify two subject positions within Australia\u27s Widening Participation higher education policy.

Purpose

The massification of higher education is a definitive feature of the late twentieth century. Widening Participation (WP) policy is a recent manifestation of this phenomenon in Britain and Australia. This article uses Foucauldian discourse analysis to identify two subject positions within Australian WP higher education policy, that of the cap(able) individual and the proper aspirant. The article also traces the feeling-rules associated with these subject positions to ask critical questions about neo-liberal social justice.

Design/methodology/approach

A Foucauldian discourse analysis was conducted on a range of policy documents relating the higher education during the period 2008-2013. Using Bacchi’s (2012) ‘what is the problem represented to be?’ (WPR) approach, two subject positions and their attendant feeling-rules are identified.&nbsp;&nbsp;&nbsp;

Findings

The two subject positions, the cap(able) individual and the proper aspirant, represent a quintessential neo-liberal subject who possesses ‘natural’ ability, hope for social mobility and is highly individualised and entrepreneurial in disposition. As a reinvention of social justice approaches to higher education, WP has wide emotional and common sense appeal derived from its links into older discourses on social justice, meritocracy and the redemptive promise of education and childhood hope.&nbsp; A new neo-liberal appropriation of social justice, WP neglects critical historical, social and contextual factors related to educational inequity"
675,Global water: issues and insights,"This book brings together some of the world’s leading water researchers with an especially written collection of chapters on: water economics; transboundary water; water and development; water and energy; and water concepts.

Introduction

Freshwater governance holds a prominent position in the global policy agenda. Burgeoning water demand due to population growth and rising incomes is combining with supply-side pressures, such as environmental pollution and climate change, to create acute conditions of global water scarcity. This is a major concern because water is a primary input for agriculture, manufacturing, environmental health, human health, energy production and just about every economic sector and ecosystem.

In addition to its importance, the management of freshwater resources is a complex, multidisciplinary topic. Encompassing a range of fields in the physical and social sciences, the task of sustainably meeting human and environmental water needs requires a depth and breadth of understanding unparalleled by most other policy problems.

Our objective in this volume is to provide knowledge and insights into major issues and concepts related to freshwater governance. The book is divided into five themed parts: Economics, Transboundary governance, Development, Energy and Water Concepts.

A part addresses each theme and opens with an introduction that provides an overview of key topics. For example, the introduction to the economics section presents two main foci: measuring the value of water and managing trade-offs between different water uses. The thematic case studies discuss issues such as water pricing in Organisation for Economic Co-operation and Development (OECD) countries, finance of water supply and irrigation infrastructure and improving agricultural production with enhanced water management.

The aim of the volume is to accessibly communicate academic research from the many fields of freshwater governance. Too often, academic research is paywalled and/or written in a style that caters to colleagues in the same field, rather than a broader audience from other disciplines, the policy-making community and the general public. This open-access book presents the research of a range of global experts on freshwater governance in brief, insightful chapters that do not presume a high level of pre-existing knowledge of their respective subjects. This format is intended to present knowledge on the key problems of and solutions to global freshwater challenges.

The final part presents research from several United Nations Educational, Social, and Cultural Organisation (UNESCO) supported water research Chairs and Centres. Support and coordination of the insititutions highlighted in this part of the book is provided by UNESCO. One water research Chair is The Australian National University – UNESCO Chair in Water Economics and Transboundary Governance, which was established in April 2010 and works with partners in southern Africa, UNESCO, the Global Water Partnership and other organisations to: (1) increase the skills, capacity, networks and potential of leaders and prospective water managers and policy-makers; (2) sustain and strengthen institutional capacity (especially in southern Africa) by providing a platform for collaboration and institutional development; and, (3) develop innovative research, tools, case-studies, and insights on water economics, water governance and equity.

Established by the ANU–UNESCO Chair, the Global Water Forum (GWF) seeks to disseminate knowledge regarding freshwater governance and build the capacity of students, policy-makers and the general public to respond to local and global water issues. The GWF publishes accessible, subscription-free articles highlighing the latest research and practice concerning freshwater governance. A broad range of water-related topics are discussed in a non-technical manner, including water security, development, agriculture, energy and environment. In addition to publishing articles, reports and books, the GWF is engaged in a range of activities, such as the annual Emerging Scholars Award and hosting a portal to educational resources on freshwater.

We hope that you enjoy reading this book and, more importantly, gain an improved understanding of the complex freshwater-governance challenges facing us all on a global scale and at a local level"
676,"Families, policy and the law: selected essays on contemporary issues for Australia","These collected essays explore the complexities that confront those who frame social policy and those involved in the social services and legal systems that intersect with child and family issues.

Introduction

There are few areas of policy that carry greater complexity than those that focus on families. The dynamics of family formation are, and have always been, intricately connected with the evolving conditions of societies and the constraints and values they embrace at any given era. Some things, however, are perennial. The functions families fulfil have remained essentially unchanged despite the shifts in the circumstances and challenges that families confront. Not surprisingly, the ways in which policy-makers seek to address the needs of families also evolve and, in turn, influence the changing social context.

Broadly speaking, policy initiatives seek to support family stability, facilitate positive functioning, enhance their safety and security, and generally promote the wellbeing of family members to the benefit of their communities and the wider society. Family policy involves a complex mix of social, economic, educational, employment, housing and health policies, along with a range of other child- and family-focused priorities. These policy “levers” are used to enhance opportunities, build capacity and capitalise on individual and family strengths.

Just as social policy is framed by the complexities of family and societal change, childand family-focused legal systems also confront the challenges of change. Changing social and policy contexts have far-reaching implications for the law. While legislation tends to follow such change, it can also drive change.

The collected essays in this volume seek to explore some of the complexities that confront both those who frame social policy and those involved in the social services and legal systems that intersect with child and family issues. The genesis of the volume was in a set of papers presented to the 12th Australian Institute of Family Studies Conference held in Melbourne from 25 to 27 July 2012. In reflecting on the wealth of material presented at the conference, we were impressed by the many papers that focused on topics at the intersection of policy and the law. We have added some invited essays to these conference presentations to provide succinct snapshots of some of the issues with which Australia, like many other nations, grapples in this first part of the 21st century. It is by no means an exhaustive coverage of the terrain, but a sampling of some of the contemporary issues at the forefront of thinking about the complexities of the lives of Australian children and families"
677,Innovative solutions for enhanced illicit drugs profiling using comprehensive two-dimensional gas chromatography and mass spectrometry technologies,"This project aimed to determine whether comprehensive two-dimensional gas chromatography is suitable for routine use in a forensic laboratory for profiling illicit substances.

Abstract

Analytical gas chromatographic methods usually rely upon a single dimension (ie single column) high-resolution capillary GC column to provide separation of target analyses. When a matrix is especially complex, the ability of the column to provide adequate resolution is severely compromised. Often, mass spectrometry may provide the ability to uniquely measure the target compounds, but if the matrix generates similar ions to the target compounds, this can lead to confounded analysis. Mass spectrometry offers many potential solutions to the lack of resolution of GC; however, this usually involves selected ion monitoring or similar approaches. This removes the important opportunity to use a full-scan spectrum to match with a database library. In the present project, high-resolution GC analysis using the multidimensional separation method of comprehensive two-dimensional gas chromatography (GCxGC) was used to provide sufficient resolution to allow full-scan acquisition with library confirmation of illicit drug identity. It was shown that the WADA criteria for a selection of test steroid compounds could be suitably met under this new high-resolution environment. In addition, analysis of samples of ecstasy were profiled and all synthetic residues involved in the synthesis of ecstasy could be fully resolved and located in the 2D separation space with excellent library matches, even though the underlying matrix was very complicated and would have strongly interfered in a 1D separation analysis. This will allow facile profiling of the reaction procedure for ecstasy synthesis"
